Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot83,"Rena-chan",normal,3,Pending,"OLI Back Storage","OLI Back Storage: Objective #2","1","16:51:10","N/A",
Bot85,"Dirtbikercj",normal,26,Archived,"Railway Area","Railway Area: Objective #3","1","16:51:10","16:51:16",
Bot85,"Dirtbikercj",normal,26,Archived,"Railway Area","Railway Area: Objective #4","1","16:51:21","16:51:33",
Bot85,"Dirtbikercj",normal,26,Archived,"Railway Area","Railway Area: Objective #2","1","16:51:38","16:52:05",
Bot85,"Dirtbikercj",normal,26,Archived,"Railway Area","Railway Area: Objective #1","1","16:52:10","16:53:14",
Bot85,"Dirtbikercj",normal,26,Completed,"The Blood of War - Part 1","Zone place_WARBLOOD_04_2","1","16:53:19","16:55:39",
Bot85,"Dirtbikercj",normal,26,Failed,"The Blood of War - Part 1","Zone place_WARBLOOD_04_1","1","16:56:09","17:04:06",
Bot85,"Dirtbikercj",normal,26,Completed,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #4","1","17:04:36","17:04:39",
Bot85,"Dirtbikercj",normal,26,Completed,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #3","1","17:04:44","17:04:57",
Bot85,"Dirtbikercj",normal,26,Completed,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #5","1","17:05:02","17:05:19",
Bot85,"Dirtbikercj",normal,26,Completed,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #6","1","17:05:24","17:05:43",
Bot85,"Dirtbikercj",normal,26,Completed,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #7","1","17:05:48","17:06:06",
Bot85,"Dirtbikercj",normal,26,Pending,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #2","1","17:06:11","N/A",
Bot85,"Dirtbikercj",normal,26,Pending,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #1","1","17:06:57","N/A",
Bot85,"Dirtbikercj",normal,26,Pending,"Goshan Loading Corridor Stairs Bottom","Goshan Loading Corridor Stairs Bottom: Objective #1","1","17:07:17","N/A",
Bot85,"Dirtbikercj",normal,26,Completed,"East Wall Container","East Wall Container: Objective #1","1","17:08:00","17:09:49",
Bot85,"Dirtbikercj",normal,26,Active,"Goshan Food Spawns","Goshan Food Spawns: Objective #1","1","17:09:54","N/A",
Bot86,"JustNU",normal,13,Pending,"Railway Area","Railway Area: Objective #3","1","16:51:10","N/A",
Bot82,"Waffle",normal,13,Completed,"OLI Showroom Center","OLI Showroom Center: Objective #4","1","16:51:10","16:59:30",
Bot82,"Waffle",normal,13,Completed,"OLI Showroom Center","OLI Showroom Center: Objective #5","1","16:59:35","17:00:06",
Bot82,"Waffle",normal,13,Completed,"OLI Showroom Center","OLI Showroom Center: Objective #3","1","17:00:12","17:00:59",
Bot82,"Waffle",normal,13,Completed,"OLI Showroom Center","OLI Showroom Center: Objective #1","1","17:01:04","17:01:15",
Bot82,"Waffle",normal,13,Failed,"OLI Showroom Center","OLI Showroom Center: Objective #2","1","17:01:20","17:05:01",
Bot81,"PoppleO",normal,27,Completed,"Informed Means Armed","Zone place_skier_11_3","2","16:51:10","16:52:18",
Bot81,"PoppleO",normal,27,Completed,"Vitamins - Part 1","Item Chemical container #3","1","16:52:23","16:52:46",
Bot81,"PoppleO",normal,27,Failed,"Vitamins - Part 1","Item Chemical container #2","1","16:52:51","17:00:56",
Bot81,"PoppleO",normal,27,Completed,"The Key to Success","Item Clothes design handbook - Part 2","1","16:53:23","16:53:52",
Bot81,"PoppleO",normal,27,Failed,"The Key to Success","Item Clothes design handbook - Part 1","1","16:53:57","17:00:56",
Bot84,"Spock",normal,13,Failed,"DOM","DOM: Objective #5","1","16:51:11","16:51:37",
Bot100,"MadByte",normal,6,Active,"Railway Stashes","Railway Stashes: Objective #4","1","16:56:24","N/A",
Bot99,"Fin",normal,3,Completed,"North Construction Site","North Construction Site: Objective #3","1","16:56:24","17:00:13",
Bot99,"Fin",normal,3,Completed,"North Construction Site","North Construction Site: Objective #1","1","17:00:18","17:00:41",
Bot99,"Fin",normal,3,Completed,"North Construction Site","North Construction Site: Objective #2","1","17:00:46","17:01:44",
Bot99,"Fin",normal,3,Completed,"IDEA Escalator Top Room","IDEA Escalator Top Room: Objective #1","1","17:01:49","17:04:23",
Bot99,"Fin",normal,3,Failed,"TTS","TTS: Objective #4","1","17:04:28","17:11:05",
Bot109,"FlashMode",normal,4,Completed,"OLI Logistics Back Offices","OLI Logistics Back Offices: Objective #1","1","16:57:12","16:59:19",
Bot109,"FlashMode",normal,4,Completed,"Techlight","Techlight: Objective #2","3","16:59:24","17:00:48",
Bot109,"FlashMode",normal,4,Completed,"OLI Showroom West","OLI Showroom West: Objective #7","1","17:00:53","17:01:22",
Bot109,"FlashMode",normal,4,Failed,"OLI Showroom West","OLI Showroom West: Objective #2","1","17:01:27","17:01:41",
Bot114,"Гарри Знахарь (MeowletteBlackpaw)",normal,1,Active,"IDEA Office","IDEA Office: Objective #3","1","16:59:15","N/A",
Bot121,"Игорь Арахис (Devraccoon)",normal,1,Failed,"Techlight","Techlight: Objective #2","1","17:01:23","17:03:17",
Bot128,"Димон Сколопендра (jennacide)",normal,1,Active,"Power Station","Power Station: Objective #1","2","17:04:24","N/A",
Bot133,"bitwarrior",normal,11,Pending,"IDEA Office","IDEA Office: Objective #1","1","17:06:27","N/A",
Bot132,"Baliston",normal,9,Completed,"Power Station Switch","Power Station Switch: Objective #1","2","17:06:27","17:09:29",
Bot132,"Baliston",normal,9,Completed,"Power Station West Shack","Power Station West Shack: Objective #1","1","17:09:34","17:10:11",
Bot132,"Baliston",normal,9,Active,"IDEA Office","IDEA Office: Objective #3","1","17:10:16","N/A",
Bot140,"Прохор Тихий (Stealthsuit)",normal,1,Completed,"KIBA Alarm Panel 2","KIBA Alarm Panel 2: Objective #1","2","17:08:08","17:09:23",
Bot140,"Прохор Тихий (Stealthsuit)",normal,1,Completed,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #4","1","17:09:28","17:10:23",
Bot140,"Прохор Тихий (Stealthsuit)",normal,1,Completed,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #3","1","17:10:28","17:10:37",
Bot140,"Прохор Тихий (Stealthsuit)",normal,1,Completed,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #2","1","17:10:42","17:11:10",
Bot140,"Прохор Тихий (Stealthsuit)",normal,1,Pending,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #1","1","17:11:15","N/A",
Bot141,"Степан Додик (SUPERBUBU3000)",normal,1,Completed,"KIBA Alarm Panel 2","KIBA Alarm Panel 2: Objective #1","2","17:08:08","17:09:26",
Bot141,"Степан Додик (SUPERBUBU3000)",normal,1,Active,"Goshan North Office","Goshan North Office: Objective #1","2","17:09:31","N/A",
Bot142,"DanW",normal,1,Failed,"IDEA North Bus","IDEA North Bus: Objective #1","1","17:08:41","17:08:49",
Bot142,"DanW",normal,1,Completed,"IDEA Office","IDEA Office: Objective #2","3","17:08:55","17:10:52",
Bot142,"DanW",normal,1,Completed,"IDEA Office","IDEA Office: Objective #3","1","17:10:57","17:11:06",
Bot142,"DanW",normal,1,Pending,"IDEA Office","IDEA Office: Objective #1","1","17:11:11","N/A",
Bot146,"Мстислав Верстак (Rasdow)",normal,1,Failed,"MK","MK: Objective #1","1","17:09:28","17:09:35",
Bot146,"Мстислав Верстак (Rasdow)",normal,1,Completed,"Mantis","Mantis: Objective #1","1","17:09:40","17:10:08",
Bot146,"Мстислав Верстак (Rasdow)",normal,1,Pending,"Mantis","Mantis: Objective #4","1","17:10:13","N/A",
