Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"nooky",normal,7,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","14:49:05","14:49:59",
Bot2,"Victor_Two",normal,4,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","14:49:06","14:49:27",
Bot2,"Victor_Two",normal,4,Failed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","14:49:32","14:49:56",
Bot2,"Victor_Two",normal,4,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","14:50:01","14:51:50",
Bot4,"openingspark860",normal,12,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","14:49:06","14:51:37",
Bot3,"LunnayaLuna",normal,12,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","14:49:06","14:57:17",
Bot5,"PaPaSamBuBu",normal,11,Failed,"Tarbank","Tarbank: Objective #1","1","14:49:07","14:53:03",
Bot6,"seionmoya",normal,5,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","14:49:07","14:55:44",
Bot10,"Ninjaweb",normal,7,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","14:51:46","14:57:09",
Bot11,"Waffle",normal,1,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","14:51:48","14:52:17",
Bot21,"DanCam38",normal,9,Pending,"Capital Insight","Capital Insight: Objective #5","1","14:54:48","N/A",
Bot22,"Basuro",normal,2,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","14:54:49","15:13:58",
Bot22,"Basuro",normal,2,Pending,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","15:14:58","N/A",
Bot23,"TEOA",normal,12,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","14:55:15","15:13:05",
Bot34,"Miraki",normal,6,Failed,"Tarbank","Tarbank: Objective #3","1","14:58:53","15:00:00",
Bot36,"Tyfon",normal,11,Pending,"Olive Restaurant","Olive Restaurant: Objective #1","1","14:59:28","N/A",
Bot36,"Tyfon",normal,11,Active,"Olive Restaurant","Olive Restaurant: Objective #2","1","15:06:58","N/A",
Bot44,"OkaMoez",normal,8,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","15:02:15","15:02:23",
Bot44,"OkaMoez",normal,8,Failed,"Luxurious Life","Item Bottle of Le Jean wine","1","15:02:28","15:04:26",
Bot46,"Зураб Коматоз (riku8405)",normal,1,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #9","1","15:03:46","15:04:18",
Bot48,"savid_dubs",normal,12,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","15:03:52","15:04:59",
Bot48,"savid_dubs",normal,12,Failed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","15:05:04","15:10:40",
Bot49,"5o2",normal,10,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","15:03:52","15:13:04",
Bot52,"Ашот Леший (R3)",normal,1,Active,"Tarbank Upstairs","Tarbank Upstairs: Objective #4","1","15:06:35","N/A",
Bot57,"Boop",normal,4,Failed,"Capital Insight","Capital Insight: Objective #5","2","15:08:44","15:13:07",
Bot58,"Tariyihika",normal,9,Failed,"Capital Insight Sniping","Capital Insight Sniping: Objective #2","1","15:08:48","15:13:03",
Bot61,"Кондратий Сендвич (Jester_Stacks)",normal,1,Active,"Skyside Hotel","Skyside Hotel: Objective #4","1","15:10:02","N/A",
Bot62,"Стасик Пряха (nidhoeggr)",normal,1,Active,"Underground North","Underground North: Objective #5","1","15:10:54","N/A",
Bot64,"Макс Коптёр (InternalError_)",normal,1,Completed,"Tarbank Upstairs","Tarbank Upstairs: Objective #2","1","15:11:19","15:12:01",
Bot64,"Макс Коптёр (InternalError_)",normal,1,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #4","1","15:12:06","15:15:53",
Bot65,"Grasyl",normal,8,Pending,"Oasis Sniping","Oasis Sniping: Objective #2","1","15:11:51","N/A",
Bot65,"Grasyl",normal,8,Active,"Oasis Sniping","Oasis Sniping: Objective #3","2","15:11:57","N/A",
Bot66,"Stealthsuit",normal,13,Failed,"Oasis Sniping","Oasis Sniping: Objective #2","1","15:11:57","15:15:51",
Bot69,"Митяй Люканг (Spock)",normal,1,Active,"Tarbank Upstairs","Tarbank Upstairs: Objective #3","1","15:13:27","N/A",
Bot70,"Колян Питерский (Jeo)",normal,1,Failed,"Skyside Hotel Outside","Skyside Hotel Outside: Objective #3","1","15:13:32","15:15:45",
Bot71,"KokaZ93",normal,7,Failed,"VEX Camping","VEX Camping: Objective #1","1","15:14:00","15:14:03",
Bot71,"KokaZ93",normal,7,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #5","1","15:14:02","15:14:03",
Bot72,"Fershte",normal,10,Pending,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #5","1","15:14:02","N/A",
Bot74,"Димон Наглый (itsMickle)",normal,1,Active,"Skyside Hotel Outside","Skyside Hotel Outside: Objective #2","1","15:14:08","N/A",
Bot76,"Snofielf",normal,7,Pending,"Oasis Sniping","Oasis Sniping: Objective #2","1","15:14:50","N/A",
Bot76,"Snofielf",normal,7,Pending,"Oasis Sniping","Oasis Sniping: Objective #1","1","15:15:04","N/A",
Bot77,"SUPERBUBU3000",normal,7,Pending,"Oasis","Oasis: Objective #1","1","15:15:04","N/A",
Bot79,"Ботир Клещ (Lave)",normal,1,Active,"Mira Avenue Benches","Mira Avenue Benches: Objective #2","1","15:15:44","N/A",
Bot81,"Степа Пукеш (IvanTheThicc)",normal,1,Active,"Underground North","Underground North: Objective #3","1","15:15:45","N/A",
