Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot9,"Nikita",normal,17,Pending,"Scrap Metal","Zone place_peacemaker_003_N2","1","10:31:26","N/A",
Bot12,"Paulov",normal,15,Pending,"Eagle Eye","Zone place_peacemaker_004_N2","1","10:31:26","N/A",
Bot11,"职业玩家",normal,12,Failed,"Eagle Eye","Zone place_peacemaker_004_N2","1","10:31:26","10:56:14",
Bot8,"SlejmUr",normal,3,Completed,"Village","Village: Objective #2","1","10:31:26","10:31:35",
Bot8,"SlejmUr",normal,3,Completed,"Village","Village: Objective #1","1","10:31:40","10:32:51",
Bot8,"SlejmUr",normal,3,Completed,"Village","Village: Objective #3","1","10:32:56","10:33:45",
Bot8,"SlejmUr",normal,3,Completed,"Village","Village: Objective #5","3","10:33:50","10:34:44",
Bot8,"SlejmUr",normal,3,Completed,"Village","Village: Objective #4","2","10:34:50","10:36:49",
Bot8,"SlejmUr",normal,3,Completed,"Cabins","Cabins: Objective #1","1","10:36:54","10:40:19",
Bot8,"SlejmUr",normal,3,Completed,"Cabins","Cabins: Objective #7","1","10:40:24","10:41:54",
Bot8,"SlejmUr",normal,3,Failed,"Cabins","Cabins: Objective #4","1","10:41:59","10:42:46",
Bot8,"SlejmUr",normal,3,Completed,"Cabins","Cabins: Objective #3","2","10:42:51","10:43:24",
Bot8,"SlejmUr",normal,3,Completed,"Cabins","Cabins: Objective #2","1","10:43:29","10:44:11",
Bot8,"SlejmUr",normal,3,Completed,"Cabins","Cabins: Objective #5","1","10:44:16","10:44:45",
Bot8,"SlejmUr",normal,3,Completed,"Cabins","Cabins: Objective #6","1","10:44:50","10:46:48",
Bot8,"SlejmUr",normal,3,Completed,"West Cottage","West Cottage: Objective #1","3","10:46:53","10:51:52",
Bot8,"SlejmUr",normal,3,Completed,"Cottage Garage","Cottage Garage: Objective #1","1","10:51:57","10:52:41",
Bot8,"SlejmUr",normal,3,Active,"Resort West Wing 1st Floor","Resort West Wing 1st Floor: Objective #4","1","10:52:46","N/A",
