Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot164,"Floppa",normal,15,Failed,"RUAF Roadblock Crates","RUAF Roadblock Crates: Objective #1","1","20:21:20","20:40:08",
Bot167,"jbs4bmx",normal,10,Completed,"Sawmill Marked Circle","Sawmill Marked Circle: Objective #1","1","20:21:20","20:21:51",
Bot167,"jbs4bmx",normal,10,Failed,"Sawmill Warehouse","Sawmill Warehouse: Objective #1","2","20:21:56","20:29:08",
Bot168,"Security-Sama",normal,7,Pending,"Easy Money - Part 1","Item Bison VS Undertaker poster pack.","1","20:21:20","N/A",
Bot169,"Fontaine",normal,7,Failed,"Easy Money - Part 1","Item Bison VS Undertaker poster pack.","1","20:21:21","20:21:56",
Bot171,"Clownmaster1995",normal,16,Completed,"Steady Signal","Zone q14_8_4","1","20:21:21","20:22:51",
Bot171,"Clownmaster1995",normal,16,Failed,"Steady Signal","Zone q14_8_2","1","20:23:21","20:32:06",
Bot172,"Platinum",normal,19,Failed,"Gratitude","Zone place_THX_15","1","20:21:21","20:40:26",
Bot183,"MadByte",normal,11,Completed,"Search Mission","Zone pr_scout_col","1","20:26:58","20:27:32",
Bot183,"MadByte",normal,11,Completed,"Search Mission","Zone pr_scout_base","1","20:27:37","20:31:23",
Bot183,"MadByte",normal,11,Completed,"Easy Money - Part 1","Item Bison VS Undertaker poster pack.","1","20:31:29","20:31:57",
Bot183,"MadByte",normal,11,Completed,"USEC Camp South","USEC Camp South: Objective #1","3","20:32:02","20:34:01",
Bot183,"MadByte",normal,11,Completed,"USEC Camp South","USEC Camp South: Objective #2","1","20:34:06","20:34:26",
Bot183,"MadByte",normal,11,Completed,"Sawmill Checkpoint Nearby Rocks","Sawmill Checkpoint Nearby Rocks: Objective #1","1","20:34:31","20:36:46",
Bot183,"MadByte",normal,11,Failed,"The Survivalist Path - Thrifty","Zone huntsman_005_2","1","20:36:51","20:38:31",
Bot184,"r2go",normal,13,Failed,"Search Mission","Zone pr_scout_col","1","20:26:59","20:39:51",
Bot185,"Hupfi",normal,7,Failed,"Search Mission","Zone pr_scout_col","1","20:27:00","20:39:54",
Bot194,"Тарас Козий-сыр (Clerance)",normal,1,Completed,"Weapon Storage Shack","Weapon Storage Shack: Objective #1","1","20:30:21","20:30:51",
Bot194,"Тарас Козий-сыр (Clerance)",normal,1,Completed,"Dead Man's Place","Dead Man's Place: Objective #1","1","20:30:56","20:31:41",
Bot194,"Тарас Козий-сыр (Clerance)",normal,1,Pending,"Sawmill Shack","Sawmill Shack: Objective #1","1","20:31:47","N/A",
Bot197,"Филипп Мальчик (Agnotology)",normal,1,Completed,"Scav Base","Scav Base: Objective #2","3","20:32:02","20:33:59",
Bot201,"Тоха Толстый (Ninjaweb)",normal,1,Active,"Scav Base","Scav Base: Objective #4","1","20:32:26","N/A",
Bot213,"Гоги Кольщик (IhanaMies)",normal,1,Failed,"Scav Base","Scav Base: Objective #2","1","20:36:12","20:37:29",
Bot214,"Tariyihika",normal,15,Failed,"ZB-014 Inner Room","ZB-014 Inner Room: Objective #1","1","20:37:12","20:37:48",
Bot214,"Tariyihika",normal,15,Failed,"Steady Signal","Zone q14_8_4","1","20:37:53","20:41:01",
Bot219,"Tyrian",normal,19,Failed,"ZB-014 Inner Room","ZB-014 Inner Room: Objective #1","1","20:39:51","20:40:13",
Bot219,"Tyrian",normal,19,Pending,"Scav House","Scav House: Objective #1","1","20:40:18","N/A",
Bot220,"Олежа Локализатор (Belette)",normal,1,Completed,"Sawmill Camp","Sawmill Camp: Objective #1","1","20:39:58","20:40:16",
Bot220,"Олежа Локализатор (Belette)",normal,1,Active,"Sawmill Checkpoint","Sawmill Checkpoint: Objective #2","1","20:40:21","N/A",
Bot221,"Рауль Борзый (ThatGuyXIV)",normal,1,Completed,"Sawmill Marked Circle","Sawmill Marked Circle: Objective #1","1","20:40:23","20:40:40",
Bot221,"Рауль Борзый (ThatGuyXIV)",normal,1,Active,"Sawmill Checkpoint","Sawmill Checkpoint: Objective #2","1","20:40:45","N/A",
Bot223,"Пахомий Шугаринг (HiddenCirno)",normal,1,Failed,"Scav Base","Scav Base: Objective #1","1","20:40:27","20:45:54",
Bot229,"jennacide",normal,16,Completed,"Spine","Spine: Objective #2","1","20:43:02","20:44:47",
Bot229,"jennacide",normal,16,Completed,"Spine","Spine: Objective #1","1","20:44:52","20:45:27",
Bot229,"jennacide",normal,16,Active,"Scav Town","Scav Town: Objective #2","1","20:45:32","N/A",
Bot230,"CouponBugDotCom",normal,16,Pending,"Northern UN Roadblock","Northern UN Roadblock: Objective #1","1","20:43:02","N/A",
Bot231,"Митяй Терминатор (JustAShepard)",normal,1,Completed,"Sawmill Shack","Sawmill Shack: Objective #1","2","20:43:16","20:43:52",
Bot231,"Митяй Терминатор (JustAShepard)",normal,1,Completed,"Sawmill Camp","Sawmill Camp: Objective #1","1","20:43:57","20:44:55",
Bot231,"Митяй Терминатор (JustAShepard)",normal,1,Completed,"Weapon Storage Shack","Weapon Storage Shack: Objective #1","1","20:45:00","20:45:56",
Bot231,"Митяй Терминатор (JustAShepard)",normal,1,Active,"Scav House","Scav House: Objective #1","1","20:46:01","N/A",
Bot244,"BrandoTheDev",normal,8,Pending,"Scav Base Sniping","Scav Base Sniping: Objective #1","1","20:46:01","N/A",
Bot244,"BrandoTheDev",normal,8,Active,"Sniper Rock Crates","Sniper Rock Crates: Objective #2","1","20:46:01","N/A",
Bot245,"职业玩家",normal,3,Pending,"Scav Town","Scav Town: Objective #2","1","20:46:01","N/A",
