Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"PaPaSamBuBu",normal,11,Failed,"Shaking up the Teller","Zone room214","1","20:01:29","20:01:31",
Bot1,"PaPaSamBuBu",normal,11,Failed,"Shaking up the Teller","Item Bank case","1","20:01:37","20:02:21",
Bot1,"PaPaSamBuBu",normal,11,Failed,"BP Depot","Zone fuel2","1","20:02:27","20:06:12",
Bot4,"5o2",normal,10,Failed,"The Extortionist","Zone dead_posylni","1","20:01:35","20:03:43",
Bot7,"Hobbes",normal,34,Failed,"Informed Means Armed","Zone place_skier_11_2","1","20:01:36","20:08:52",
Bot19,"igorir3",normal,23,Failed,"Wanderer","Zone bomj_place","1","20:02:09","20:12:09",
Bot20,"Nasc",normal,19,Completed,"Fortress Sniping","Fortress Sniping: Objective #3","2","20:02:10","20:05:06",
Bot20,"Nasc",normal,19,Failed,"Fortress Sniping","Fortress Sniping: Objective #2","2","20:05:11","20:14:58",
Bot21,"MrFandor1n",normal,22,Failed,"Tigr Safari","Zone place_peacemaker_002_N3","1","20:02:15","20:03:55",
Bot22,"PreyToLive",normal,17,Failed,"The Extortionist","Zone dead_posylni","1","20:02:20","20:02:36",
Bot38,"jfetko",normal,22,Failed,"Golden Swag","Zone extraction_zone_zibbo","1","20:07:37","20:07:54",
Bot38,"jfetko",normal,22,Failed,"Golden Swag","Item Golden Zibbo lighter","1","20:07:55","20:12:37",
Bot40,"Extrenz Arnautov",normal,21,Failed,"Shaking up the Teller","Item Bank case","1","20:07:39","20:11:58",
Bot44,"jiblet",normal,24,Failed,"Tigr Safari","Zone place_peacemaker_002_N3","1","20:08:13","20:12:02",
Bot54,"Фима Тактический (Leonana69)",normal,1,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #4","1","20:11:09","20:13:26",
Bot56,"GeorgRavioli",normal,13,Failed,"The Extortionist","Item Secure Folder 0048","1","20:11:37","20:11:55",
Bot56,"GeorgRavioli",normal,13,Failed,"The Extortionist","Zone vremyan_case","1","20:12:00","20:12:13",
Bot56,"GeorgRavioli",normal,13,Failed,"The Extortionist","Zone dead_posylni","1","20:12:18","20:16:37",
Bot57,"vampuico",normal,18,Failed,"Operation Aquarius - Part 1","Zone room206_water","1","20:11:41","20:14:41",
Bot59,"gaylatea",normal,18,Failed,"Short Cut","Short Cut: Objective #1","1","20:12:34","20:15:58",
Bot64,"Гога Стример (seionmoya)",normal,1,Active,"Big Red","Big Red: Objective #4","1","20:12:51","N/A",
Bot65,"Clerance",normal,13,Completed,"Easy Money - Part 1","Zone place_flyers1","2","20:13:08","20:14:15",
Bot65,"Clerance",normal,13,Failed,"The Extortionist","Zone dead_posylni","1","20:14:20","20:15:32",
Bot74,"Мишган Панк (All_Heil_Lord_Pepe)",normal,1,Active,"Substation","Substation: Objective #4","1","20:15:38","N/A",
Bot75,"Bulld0z3r",normal,6,Failed,"Fortress","Fortress: Objective #5","1","20:16:27","20:28:02",
Bot78,"RaiRaiTheRaichu",normal,7,Active,"BP Depot","Zone fuel2","1","20:17:52","N/A",
Bot79,"Мирослав Бугор (nohurry)",normal,1,Failed,"Giving Tree","Giving Tree: Objective #1","1","20:18:02","20:19:57",
Bot81,"WillDaPope",normal,5,Failed,"Crackhouse","Crackhouse: Objective #6","1","20:18:06","20:21:16",
Bot83,"nader",normal,16,Pending,"Big Red","Big Red: Objective #4","1","20:18:16","N/A",
Bot94,"Джонни Фторопласт (dav1dct)",normal,1,Completed,"Fortress","Fortress: Objective #9","4","20:21:33","20:22:55",
Bot94,"Джонни Фторопласт (dav1dct)",normal,1,Completed,"Fortress","Fortress: Objective #6","1","20:23:00","20:23:26",
Bot94,"Джонни Фторопласт (dav1dct)",normal,1,Failed,"Fortress","Fortress: Objective #3","1","20:23:31","20:24:59",
Bot99,"LimboFPS",normal,4,Failed,"Power Switch","Power Switch: Objective #1","1","20:22:59","20:23:01",
Bot99,"LimboFPS",normal,4,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #9","1","20:23:02","20:25:04",
Bot99,"LimboFPS",normal,4,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #3","1","20:25:09","20:25:10",
Bot99,"LimboFPS",normal,4,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #1","1","20:25:15","20:25:29",
Bot99,"LimboFPS",normal,4,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #4","1","20:25:34","20:25:56",
Bot99,"LimboFPS",normal,4,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #2","1","20:26:04","20:26:10",
