Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot3,"MusicManiac",normal,8,Failed,"Med Tent","Med Tent: Objective #1","1","10:30:11","10:32:18",
Bot5,"Gyozone",normal,26,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","10:30:11","10:30:38",
Bot4,"snowythefox811",normal,38,Failed,"Health Care Privacy - Part 5","Zone ter_017_area_1","1","10:30:11","10:31:17",
Bot6,"TimmyGG",normal,3,Failed,"The Huntsman Path - Secured Perimeter","Zone huntsman_013","1","10:30:11","10:30:27",
Bot7,"Gatsu66",normal,23,Failed,"Farming - Part 1","Zone place_SADOVOD_01_2","1","10:30:12","10:30:19",
Bot2,"5o2",normal,18,Failed,"Med Tent","Med Tent: Objective #1","1","10:30:12","10:32:17",
Bot11,"大熊",normal,23,Failed,"Basement Crates","Basement Crates: Objective #2","1","10:32:10","10:33:37",
Bot12,"snapple",normal,24,Failed,"Scout","Zone place_pacemaker_SCOUT_02","1","10:32:22","10:38:53",
Bot14,"DeadLeaves",normal,37,Failed,"Med Tent","Med Tent: Objective #1","1","10:33:11","10:35:37",
Bot17,"Tyfon",normal,15,Failed,"Postman Pat - Part 1","Item Sealed letter","1","10:34:11","10:36:37",
Bot18,"Skeeze",normal,25,Failed,"Postman Pat - Part 1","Item Sealed letter","1","10:34:11","10:34:38",
Bot21,"Stealthsuit",normal,25,Failed,"Farming - Part 1","Zone place_SADOVOD_01_2","1","10:34:32","10:36:43",
Bot24,"!Komino Style!",normal,27,Failed,"Scout","Zone place_pacemaker_SCOUT_01","1","10:35:27","10:35:47",
Bot26,"Logical Solutions",normal,20,Failed,"Scout","Zone place_pacemaker_SCOUT_01","1","10:36:43","10:39:29",
Bot28,"Агафон Ошибка (Crackbone)",normal,1,Completed,"1st Floor Office","1st Floor Office: Objective #2","1","10:37:04","10:37:21",
Bot28,"Агафон Ошибка (Crackbone)",normal,1,Failed,"1st Floor Office","1st Floor Office: Objective #1","2","10:37:27","10:38:01",
Bot29,"Святослав Херпроссы (hacker228)",normal,1,Completed,"Weapon Crate in Workshop","Weapon Crate in Workshop: Objective #1","1","10:37:12","10:37:17",
Bot29,"Святослав Херпроссы (hacker228)",normal,1,Pending,"Basement Crates","Basement Crates: Objective #1","1","10:37:22","N/A",
Bot30,"Коля Левый (Paulov)",normal,1,Completed,"Weapon Crate in Workshop","Weapon Crate in Workshop: Objective #1","1","10:37:13","10:37:18",
Bot30,"Коля Левый (Paulov)",normal,1,Pending,"Med Tent","Med Tent: Objective #1","1","10:37:24","N/A",
Bot34,"R3",normal,17,Pending,"Bad Rep Evidence","Zone locked_office","1","10:37:42","N/A",
Bot33,"Mr_Pudlik",normal,36,Active,"Health Care Privacy - Part 5","Zone ter_017_area_1","1","10:37:42","N/A",
Bot36,"Мстислав Штирлиц (SamSWAT)",normal,1,Active,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","1","10:39:33","N/A",
Bot39,"Костыль Ихтиандр (lukewarmpudding)",normal,1,Active,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","1","10:40:15","N/A",
