Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot157,"gamesensical",normal,4,Completed,"Board Room","Board Room: Objective #1","1","19:33:06","19:34:33",
Bot157,"gamesensical",normal,4,Active,"Main Work Area 2nd Floor Patrol","Main Work Area 2nd Floor Patrol: Objective #1","2","19:34:38","N/A",
Bot158,"MedDeatH",normal,12,Failed,"Main Working Area East","Main Working Area East: Objective #3","1","19:33:06","19:36:15",
Bot161,"Yakhmet",normal,12,Completed,"Server Room","Server Room: Objective #5","1","19:33:06","19:33:27",
Bot161,"Yakhmet",normal,12,Completed,"Server Room","Server Room: Objective #4","1","19:33:32","19:33:47",
Bot161,"Yakhmet",normal,12,Completed,"Server Room","Server Room: Objective #3","1","19:33:52","19:34:09",
Bot161,"Yakhmet",normal,12,Completed,"Server Room","Server Room: Objective #1","1","19:34:14","19:34:35",
Bot161,"Yakhmet",normal,12,Completed,"Server Room","Server Room: Objective #2","1","19:34:40","19:34:59",
Bot161,"Yakhmet",normal,12,Active,"Server Room Control Room","Server Room Control Room: Objective #1","2","19:35:04","N/A",
Bot160,"bunray",normal,13,Pending,"Negotiation Room","Negotiation Room: Objective #1","1","19:33:06","N/A",
Bot159,"Wrecker",normal,8,Completed,"Main Working Area West","Main Working Area West: Objective #3","1","19:33:06","19:33:20",
Bot159,"Wrecker",normal,8,Completed,"Main Working Area West","Main Working Area West: Objective #1","1","19:33:25","19:34:44",
Bot159,"Wrecker",normal,8,Completed,"Main Working Area West","Main Working Area West: Objective #5","1","19:34:49","19:35:17",
Bot159,"Wrecker",normal,8,Failed,"Main Working Area West","Main Working Area West: Objective #6","1","19:35:22","19:36:31",
